region,combination,player_games,regional_player_game_share_pct,prevalence_rank,placing,observations,mean_rating_change
br,R2 / GM+2,734,13.189577717879605,4,6,37,-153.97297297297297
eune,R0 / GM+0,1112,23.123310459555,1,1,223,64.60986547085201
eune,R0 / GM+0,1112,23.123310459555,1,2,222,36.22522522522522
eune,R0 / GM+0,1112,23.123310459555,1,3,188,9.75
eune,R0 / GM+0,1112,23.123310459555,1,4,159,-26.949685534591193
eune,R0 / GM+0,1112,23.123310459555,1,5,163,-53.57055214723926
eune,R0 / GM+0,1112,23.123310459555,1,6,157,-89.17834394904459
eune,R0 / GM+1,491,10.210022873778332,5,1,106,64.16981132075472
eune,R0 / GM+1,491,10.210022873778332,5,2,82,33.01219512195122
eune,R0 / GM+1,491,10.210022873778332,5,3,75,0.6533333333333333
eune,R0 / GM+1,491,10.210022873778332,5,4,80,-32.0125
eune,R0 / GM+1,491,10.210022873778332,5,5,83,-71.51807228915662
eune,R0 / GM+1,491,10.210022873778332,5,6,65,-93.6923076923077
eune,R1 / GM+1,721,14.992721979621543,3,1,199,46.96482412060301
eune,R1 / GM+1,721,14.992721979621543,3,2,152,21.026315789473685
eune,R1 / GM+1,721,14.992721979621543,3,3,129,-9.131782945736434
eune,R1 / GM+1,721,14.992721979621543,3,4,77,-30.22077922077922
eune,R1 / GM+1,721,14.992721979621543,3,5,82,-66.47560975609755
eune,R1 / GM+1,721,14.992721979621543,3,6,82,-82.64634146341463
eune,R2 / GM+1,629,13.079642337284259,4,1,180,39.26111111111111
eune,R2 / GM+1,629,13.079642337284259,4,2,147,17.523809523809526
eune,R2 / GM+1,629,13.079642337284259,4,3,116,-6.439655172413793
eune,R2 / GM+1,629,13.079642337284259,4,4,76,-31.013157894736842
eune,R2 / GM+1,629,13.079642337284259,4,5,66,-58.96969696969697
eune,R2 / GM+1,629,13.079642337284259,4,6,44,-72.61363636363636
eune,R2 / GM+2,985,20.48242877937201,2,1,480,52.104166666666664
eune,R2 / GM+2,985,20.48242877937201,2,2,161,19.17391304347826
eune,R2 / GM+2,985,20.48242877937201,2,3,136,-22.573529411764707
eune,R2 / GM+2,985,20.48242877937201,2,4,96,-62.9375
eune,R2 / GM+2,985,20.48242877937201,2,5,66,-106.0909090909091
eune,R2 / GM+2,985,20.48242877937201,2,6,46,-141.32608695652175
euw,R0 / GM+0,1049,28.085676037483264,1,1,233,56.107296137339056
euw,R0 / GM+0,1049,28.085676037483264,1,2,199,30.517587939698494
euw,R0 / GM+0,1049,28.085676037483264,1,3,178,6.438202247191011
euw,R0 / GM+0,1049,28.085676037483264,1,4,166,-24.843373493975903
euw,R0 / GM+0,1049,28.085676037483264,1,5,143,-56.11888111888112
euw,R0 / GM+0,1049,28.085676037483264,1,6,130,-87.16923076923077
euw,R1 / GM+0,364,9.745649263721551,5,1,79,43.31645569620253
euw,R1 / GM+0,364,9.745649263721551,5,2,71,27.704225352112676
euw,R1 / GM+0,364,9.745649263721551,5,3,66,1.5757575757575757
euw,R1 / GM+0,364,9.745649263721551,5,4,54,-16.925925925925927
euw,R1 / GM+0,364,9.745649263721551,5,5,45,-35.48888888888889
euw,R1 / GM+0,364,9.745649263721551,5,6,49,-60.61224489795919
euw,R1 / GM+1,458,12.262382864792503,3,1,156,48.21153846153846
euw,R1 / GM+1,458,12.262382864792503,3,2,121,17.892561983471076
euw,R1 / GM+1,458,12.262382864792503,3,3,59,-8.084745762711865
euw,R1 / GM+1,458,12.262382864792503,3,4,57,-40.8421052631579
euw,R1 / GM+1,458,12.262382864792503,3,5,43,-76.20930232558139
euw,R1 / GM+1,458,12.262382864792503,3,6,22,-84.54545454545455
euw,R2 / GM+1,392,10.495314591700133,4,1,147,32.36054421768708
euw,R2 / GM+1,392,10.495314591700133,4,2,90,13.455555555555556
euw,R2 / GM+1,392,10.495314591700133,4,3,74,-8.756756756756756
euw,R2 / GM+1,392,10.495314591700133,4,4,25,-41.4
euw,R2 / GM+1,392,10.495314591700133,4,5,32,-52.90625
euw,R2 / GM+1,392,10.495314591700133,4,6,24,-91.95833333333333
euw,R2 / GM+2,770,20.615796519410978,2,1,491,37.76171079429735
euw,R2 / GM+2,770,20.615796519410978,2,2,129,12.077519379844961
euw,R2 / GM+2,770,20.615796519410978,2,3,66,-30.21212121212121
euw,R2 / GM+2,770,20.615796519410978,2,4,49,-75.79591836734694
euw,R2 / GM+2,770,20.615796519410978,2,5,21,-113.57142857142857
euw,R2 / GM+2,770,20.615796519410978,2,6,14,-141.71428571428572
jp,R0 / GM+0,191,14.681014604150652,3,1,37,43.83783783783784
jp,R0 / GM+0,191,14.681014604150652,3,2,50,22.58
jp,R0 / GM+0,191,14.681014604150652,3,3,38,5.026315789473684
jp,R0 / GM+0,191,14.681014604150652,3,4,28,-30.714285714285715
jp,R0 / GM+0,191,14.681014604150652,3,5,22,-48.36363636363637
jp,R0 / GM+0,191,14.681014604150652,3,6,16,-70.6875
jp,R1 / GM+0,118,9.069946195234435,5,1,39,32.43589743589744
